Dotazník,Věk,Pohlaví,Kraj,Region,Velikost místa bydliště,Vzdělání,Praktikujete orální sex?,Druh sexu a oční kontakt
175,41,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
176,56,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
177,47,Muž,Jihočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
178,46,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
179,22,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
180,20,Muž,Jihočeský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
181,57,Žena,Liberecký,Čechy,Více než 100 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
182,38,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
183,60,Žena,Plzeňský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
184,42,Muž,Vysočina,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
185,29,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
186,47,Žena,Královehradecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
187,32,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
188,29,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
189,25,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
190,65,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
191,25,Žena,Plzeňský,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
192,55,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
193,44,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
194,48,Muž,Liberecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
195,20,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
196,19,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt je důležitý
197,65,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
198,38,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
199,37,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
200,63,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
201,22,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
202,28,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
203,26,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
204,65,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
205,39,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
206,55,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
207,42,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
208,38,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
209,60,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
210,24,Muž,Karlovarský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
211,45,Muž,Plzeňský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
212,53,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,nevím nebo si nevzpomínám,jinou
213,64,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
214,46,Muž,Pardubický,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
215,63,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
216,48,Žena,Zlínský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
217,51,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
218,48,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
219,65,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
220,36,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
221,20,Muž,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
222,38,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
223,43,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
224,58,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
225,37,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
226,59,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
227,54,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
228,48,Žena,Královehradecký,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
229,35,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
230,37,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
231,32,Muž,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
232,23,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
233,61,Žena,Jihomoravský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
234,35,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
235,54,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
236,40,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
237,50,Muž,Vysočina,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
238,46,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
239,33,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
240,32,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
241,25,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
242,53,Žena,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt je důležitý
243,41,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
244,42,Muž,Jihočeský,Čechy,Do 1000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
245,22,Muž,Jihočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
246,54,Muž,Jihomoravský,Morava,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
247,28,Žena,Jihomoravský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
248,22,Muž,Jihočeský,Čechy,Do 1000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
249,30,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
250,34,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
251,40,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
252,31,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
253,51,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
254,50,Žena,Královehradecký,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
255,26,Žena,Zlínský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
256,51,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
257,32,Žena,Pardubický,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
258,54,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
259,42,Muž,Jihočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
260,31,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
261,35,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
262,33,Žena,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
263,23,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,jinou
264,57,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,anální styk – oční kontakt není důležitý
265,27,Žena,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,anální styk – oční kontakt je důležitý
266,61,Muž,Olomoucký,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
267,50,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
268,51,Muž,Jihočeský,Čechy,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
269,28,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
270,43,Muž,Olomoucký,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
271,58,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,anální styk – oční kontakt není důležitý
272,38,Žena,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
273,30,Muž,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
274,29,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
275,27,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
276,32,Žena,Jihočeský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,jinou
277,65,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
278,48,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
279,60,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
280,29,Muž,Liberecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
281,32,Žena,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
282,54,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,VŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt není důležitý
283,19,Muž,Ústecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
284,27,Muž,Pardubický,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
285,55,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
286,48,Žena,Plzeňský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
287,48,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
288,37,Muž,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
289,50,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
290,61,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
291,31,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
292,56,Žena,Pardubický,Čechy,Do 1000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
293,27,Muž,Ústecký,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
294,28,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
295,24,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
296,59,Žena,Karlovarský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
297,18,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
298,45,Muž,Vysočina,Čechy,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
299,19,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
300,47,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
301,44,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
302,50,Žena,Zlínský,Morava,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,anální styk – oční kontakt je důležitý
303,23,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
304,23,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
305,30,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
306,48,Žena,Ústecký,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
307,22,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
308,58,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
309,56,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
310,61,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt není důležitý
311,46,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
312,18,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
313,39,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
314,63,Muž,Vysočina,Čechy,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
315,24,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
316,64,Žena,Karlovarský,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
317,26,Muž,Ústecký,Čechy,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
318,38,Muž,Plzeňský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
319,26,Žena,Karlovarský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
320,21,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
321,63,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
322,56,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
323,61,Žena,Olomoucký,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
324,33,Žena,Plzeňský,Čechy,Do 1000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
325,37,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
326,64,Žena,Karlovarský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
327,23,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
328,21,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
329,57,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
330,24,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
331,19,Žena,Pardubický,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
332,31,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
333,63,Muž,Vysočina,Čechy,Do 1000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
334,60,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
335,49,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
336,21,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,jinou
337,56,Muž,Vysočina,Čechy,5 001 až 20 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
338,29,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
339,50,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
340,50,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
341,39,Žena,Olomoucký,Morava,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
342,42,Muž,Pardubický,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
343,45,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
344,23,Žena,Olomoucký,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
345,44,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
346,56,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
347,34,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
348,63,Muž,Liberecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
349,26,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
350,33,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
