Form ID,Age,Sex,Admin region,Historical region,Resident population,Education,Do you engage in oral sex?,Kind of sex and eye contact
224,58,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
225,37,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
226,59,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,No – and I had no vaginal/anal sex,Other
227,54,Female,Zlin,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
228,48,Female,Hradec Kralove,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
229,35,Male,Zlin,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
230,37,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
231,32,Male,Vysocina,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
232,23,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
233,61,Female,South Moravian,Moravia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
234,35,Male,South Moravian,Moravia,1 001 to 5 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
235,54,Male,Usti nad Labem,Bohemia,5 001 to 20 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
236,40,Male,South Moravian,Moravia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
237,50,Male,Vysocina,Bohemia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
238,46,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Other
239,33,Female,Central Bohemian,Bohemia,5 001 to 20 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
240,32,Female,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
241,25,Male,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Other
242,53,Female,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is important
243,41,Male,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
244,42,Male,South Bohemian,Bohemia,Up to 1 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
245,22,Male,South Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
246,54,Male,South Moravian,Moravia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
247,28,Female,South Moravian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
248,22,Male,South Bohemian,Bohemia,Up to 1 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
249,30,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
250,34,Female,South Moravian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
251,40,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
252,31,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
253,51,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
254,50,Female,Hradec Kralove,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
255,26,Female,Zlin,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
256,51,Male,Prague,Prague,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
257,32,Female,Pardubice,Bohemia,5 001 to 20 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
258,54,Male,Zlin,Moravia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
259,42,Male,South Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
260,31,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
261,35,Female,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
262,33,Female,Vysocina,Bohemia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
263,23,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Other
264,57,Male,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,No – although I had a vaginal/anal sex,Anal sex – eye contact is not important
265,27,Female,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Anal sex – eye contact is important
266,61,Male,Olomouc,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
267,50,Male,Central Bohemian,Bohemia,1 001 to 5 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
268,51,Male,South Bohemian,Bohemia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
269,28,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
270,43,Male,Olomouc,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
271,58,Male,South Moravian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Anal sex – eye contact is not important
272,38,Female,Vysocina,Bohemia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
273,30,Male,Prague,Prague,100 001 and above,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
274,29,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
275,27,Male,Zlin,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
276,32,Female,South Bohemian,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Other
277,65,Female,Moravian-Silesian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
278,48,Male,Usti nad Labem,Bohemia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
279,60,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
280,29,Male,Liberec,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
281,32,Female,Moravian-Silesian,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
282,54,Male,Hradec Kralove,Bohemia,5 001 to 20 000,University,I don’t know/remember,Vaginal sex – eye contact is not important
283,19,Male,Usti nad Labem,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Anal sex – eye contact is important
284,27,Male,Pardubice,Bohemia,5 001 to 20 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is important
285,55,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Other
286,48,Female,Plzen,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
287,48,Female,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
288,37,Male,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
289,50,Female,South Moravian,Moravia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
290,61,Female,Moravian-Silesian,Moravia,100 001 and above,Secondary,No – and I had no vaginal/anal sex,Other
291,31,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
292,56,Female,Pardubice,Bohemia,Up to 1 000,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is important
293,27,Male,Usti nad Labem,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
294,28,Male,Zlin,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
295,24,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
296,59,Female,Karlovy Vary,Bohemia,5 001 to 20 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
297,18,Female,Pardubice,Bohemia,20 001 to 100 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
298,45,Male,Vysocina,Bohemia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
299,19,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
300,47,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
301,44,Male,Prague,Prague,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
302,50,Female,Zlin,Moravia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Anal sex – eye contact is important
303,23,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
304,23,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
305,30,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
306,48,Female,Usti nad Labem,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
307,22,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
308,58,Male,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
309,56,Male,Prague,Prague,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
310,61,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is not important
311,46,Male,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
312,18,Female,Zlin,Moravia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
313,39,Male,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
314,63,Male,Vysocina,Bohemia,Up to 1 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is important
315,24,Male,Hradec Kralove,Bohemia,5 001 to 20 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
316,64,Female,Karlovy Vary,Bohemia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
317,26,Male,Usti nad Labem,Bohemia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
318,38,Male,Plzen,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is important
319,26,Female,Karlovy Vary,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
320,21,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
321,63,Female,Prague,Prague,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
322,56,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
323,61,Female,Olomouc,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
324,33,Female,Plzen,Bohemia,Up to 1 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
325,37,Male,Usti nad Labem,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
326,64,Female,Karlovy Vary,Bohemia,5 001 to 20 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
327,23,Male,Moravian-Silesian,Moravia,100 001 and above,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
328,21,Female,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
329,57,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
330,24,Female,Moravian-Silesian,Moravia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
331,19,Female,Pardubice,Bohemia,5 001 to 20 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
332,31,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
333,63,Male,Vysocina,Bohemia,Up to 1 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
334,60,Male,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
335,49,Male,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
336,21,Male,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – mostly because my partner initiated it,Other
337,56,Male,Vysocina,Bohemia,5 001 to 20 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
338,29,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
339,50,Male,Hradec Kralove,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
340,50,Male,South Moravian,Moravia,1 001 to 5 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
341,39,Female,Olomouc,Moravia,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
342,42,Male,Pardubice,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
343,45,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
344,23,Female,Olomouc,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
345,44,Female,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
346,56,Male,Usti nad Labem,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
347,34,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
348,63,Male,Liberec,Bohemia,5 001 to 20 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
349,26,Male,Moravian-Silesian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
350,33,Male,Central Bohemian,Bohemia,1 001 to 5 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
351,61,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Anal sex – eye contact is not important
352,48,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
353,64,Female,South Moravian,Moravia,100 001 and above,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
354,36,Female,Moravian-Silesian,Moravia,5 001 to 20 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
355,64,Male,Zlin,Moravia,1 001 to 5 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
356,23,Female,Moravian-Silesian,Moravia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
357,61,Male,Vysocina,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
358,32,Male,Central Bohemian,Bohemia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
359,20,Male,South Moravian,Moravia,1 001 to 5 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
360,38,Female,Pardubice,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
361,47,Female,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
362,19,Male,Olomouc,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
363,55,Female,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
364,40,Female,Plzen,Bohemia,Up to 1 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
365,33,Male,Hradec Kralove,Bohemia,5 001 to 20 000,University,Yes – mostly because I initiated it,Oral sex – eye contact is important
366,49,Male,South Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
367,22,Female,Vysocina,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
368,30,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
369,60,Female,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
370,44,Male,South Moravian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
371,61,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
372,56,Male,Plzen,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
373,18,Female,Karlovy Vary,Bohemia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
374,26,Male,South Moravian,Moravia,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
375,62,Female,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
376,46,Male,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
377,30,Female,Moravian-Silesian,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
378,59,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
379,60,Male,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
380,27,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
381,44,Male,Hradec Kralove,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
382,51,Male,Vysocina,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
383,23,Male,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
384,64,Female,Prague,Prague,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
385,40,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Other
386,29,Male,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
387,35,Female,Liberec,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
388,28,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
389,63,Male,Pardubice,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
390,51,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
391,20,Male,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
392,64,Female,South Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
393,21,Female,Prague,Prague,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
394,23,Female,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
395,23,Female,South Moravian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
396,57,Male,Moravian-Silesian,Moravia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
397,46,Female,Karlovy Vary,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
398,37,Female,Moravian-Silesian,Moravia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
399,65,Male,South Moravian,Moravia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
400,55,Female,Liberec,Bohemia,100 001 and above,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
401,30,Female,Zlin,Moravia,1 001 to 5 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
402,33,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
403,57,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
404,26,Male,Liberec,Bohemia,5 001 to 20 000,Secondary,No – and I had no vaginal/anal sex,Other
405,56,Female,Olomouc,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
406,40,Female,Pardubice,Bohemia,1 001 to 5 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
407,39,Male,Prague,Prague,100 001 and above,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
408,65,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
409,45,Female,South Moravian,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
410,27,Male,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
411,37,Male,Usti nad Labem,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
412,25,Male,Usti nad Labem,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
413,60,Female,Central Bohemian,Bohemia,1 001 to 5 000,University,No – and I had no vaginal/anal sex,Oral sex – eye contact is important
414,59,Female,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
415,32,Female,Zlin,Moravia,1 001 to 5 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
416,60,Male,Hradec Kralove,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
417,42,Female,Hradec Kralove,Bohemia,Up to 1 000,University,Yes – mostly because I initiated it,Oral sex – eye contact is not important
418,58,Male,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
419,54,Male,Karlovy Vary,Bohemia,1 001 to 5 000,Elementary,No – and I had no vaginal/anal sex,Oral sex – eye contact is important
420,33,Male,Pardubice,Bohemia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
421,42,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
422,41,Female,Hradec Kralove,Bohemia,Up to 1 000,University,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
423,63,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
424,28,Female,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
425,63,Male,Liberec,Bohemia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
426,29,Female,Pardubice,Bohemia,5 001 to 20 000,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
427,45,Male,South Moravian,Moravia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
428,51,Male,Olomouc,Moravia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
429,56,Female,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Other
430,36,Female,South Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
431,46,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
432,44,Male,South Moravian,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
433,33,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
434,51,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
435,43,Female,Liberec,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
436,61,Male,Karlovy Vary,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
437,31,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
438,41,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
439,22,Female,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
440,22,Male,Zlin,Moravia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
441,18,Male,Hradec Kralove,Bohemia,Up to 1 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
442,59,Female,Olomouc,Moravia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
443,28,Female,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
444,49,Male,Olomouc,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
